"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"260540 Feira Nova";1;1;0;1;0;1;8;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19
"260545 Fernando de Noronha";0;0;0;1;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;8
"260550 Ferreiros";1;0;0;1;0;1;6;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;14
"260560 Flores";1;0;0;1;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;14
"260570 Floresta";1;0;0;0;0;1;7;0;0;3;0;0;0;2;0;0;0;0;2;0;0;0;1;0;4;0;0;0;0;0;0;0;21
"260580 Frei Miguelinho";0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;12
"260590 Gameleira";0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;8;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260600 Garanhuns";2;1;0;2;1;4;40;1;29;185;1;1;2;4;1;0;1;1;3;0;0;0;2;1;0;25;1;0;2;0;0;2;312
"260610 Glória do Goitá";1;0;0;1;0;1;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;17
"260620 Goiana";12;1;0;4;0;1;26;0;13;11;0;1;0;3;0;0;0;2;3;0;0;0;4;0;0;9;0;2;5;0;0;0;97
"260630 Granito";2;0;0;1;0;0;3;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;12
"260640 Gravatá";0;1;0;0;0;2;20;0;9;27;0;2;0;1;0;0;0;1;0;0;0;0;2;0;0;8;0;0;4;0;0;0;77
"260650 Iati";0;0;0;0;0;0;8;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;12
"260660 Ibimirim";2;0;0;1;0;1;13;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;25
"260670 Ibirajuba";2;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;11
"260680 Igarassu";0;0;0;2;0;1;1;0;12;5;0;0;2;1;0;0;0;4;35;1;0;0;1;0;0;7;0;0;4;0;1;0;77
"260690 Iguaracy";1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;8
"260760 Ilha de Itamaracá";0;0;0;1;0;1;12;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;23
"260700 Inajá";1;0;0;0;0;1;6;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;3;0;0;0;0;0;0;0;17
"260710 Ingazeira";2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;7
"260720 Ipojuca";1;1;0;1;0;2;18;0;10;26;0;1;0;1;0;0;0;4;2;6;0;0;1;0;0;8;5;1;4;2;0;0;94
"260730 Ipubi";1;0;0;2;0;1;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;21
"260740 Itacuruba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;3
"260750 Itaíba";1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260765 Itambé";0;1;0;2;0;1;14;0;3;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;26
"260770 Itapetim";3;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;16
"260775 Itapissuma";2;0;0;1;0;1;9;0;5;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;0;0;2;0;0;0;25
"260780 Itaquitinga";1;0;0;1;0;1;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;13
"260790 Jaboatão dos Guararapes";4;1;0;0;0;3;118;0;48;153;0;2;0;7;0;0;1;13;0;5;0;0;8;1;0;24;0;0;11;2;1;0;402
"260795 Jaqueira";0;0;0;1;0;0;5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;10
"260800 Jataúba";0;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260805 Jatobá";1;0;0;0;0;0;4;0;2;3;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;15
"260810 João Alfredo";1;0;0;2;0;1;11;0;1;0;0;1;0;1;0;0;0;1;2;0;0;0;1;0;0;1;1;0;1;0;0;0;25
"260820 Joaquim Nabuco";0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;12
"260825 Jucati";1;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;11
"260830 Jupi";1;0;0;0;0;0;7;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;15
"260840 Jurema";0;0;0;1;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;12
"260850 Lagoa de Itaenga";0;0;0;1;0;1;9;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;18
"260845 Lagoa do Carro";1;0;0;1;0;1;6;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;1;0;0;2;1;1;1;0;0;0;21
"260860 Lagoa do Ouro";1;1;0;1;0;1;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;17
"260870 Lagoa dos Gatos";0;0;0;1;0;0;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;12
"260875 Lagoa Grande";1;1;0;0;0;1;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;19
"260880 Lajedo";1;1;0;1;0;1;10;0;2;8;0;1;0;1;0;0;0;0;2;0;0;0;1;0;0;2;0;0;1;0;0;0;32
"260890 Limoeiro";3;1;0;2;1;1;20;0;23;20;0;0;0;3;0;0;2;2;5;0;0;0;2;0;0;13;0;0;2;0;0;0;100
"260900 Macaparana";0;0;0;1;0;0;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;17
"260910 Machados";0;0;0;1;0;0;5;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
"260915 Manari";1;0;0;0;0;1;7;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;13
"260920 Maraial";0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;8
"260930 Mirandiba";0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;9
"261430 Moreilândia";0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9
"260940 Moreno";0;1;0;1;0;1;14;0;6;1;0;2;0;1;0;0;0;0;2;1;0;0;1;0;0;2;0;0;1;0;0;0;34
"260950 Nazaré da Mata";1;0;0;2;0;1;14;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;1;0;0;3;0;0;1;0;0;0;28
"260960 Olinda";3;1;0;0;0;2;43;0;48;74;0;0;2;3;2;0;0;9;0;1;0;2;1;0;0;22;1;0;6;2;1;0;223
"260970 Orobó";2;1;0;1;0;0;10;0;1;0;0;0;0;1;0;0;0;0;2;1;0;0;1;0;0;1;0;0;1;0;0;0;22
"260980 Orocó";1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;1;0;0;0;0;11
"260990 Ouricuri";1;1;0;0;1;2;25;0;6;7;0;0;1;1;0;0;1;2;1;0;0;0;2;0;0;8;1;0;0;1;0;0;61
"261000 Palmares";1;0;0;2;1;0;19;0;19;9;0;1;0;3;0;0;0;2;0;0;0;0;2;0;0;14;0;0;2;2;0;0;77
"261010 Palmeirina";0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8
"261020 Panelas";0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;1;0;7;0;0;0;1;0;0;1;0;1;1;1;0;0;18
"261030 Paranatama";0;0;0;1;0;1;6;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"261040 Parnamirim";1;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;14
"261050 Passira";2;1;0;2;0;0;14;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;3;2;1;1;0;0;0;31
"261060 Paudalho";2;1;0;2;0;1;18;0;4;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;34
"261070 Paulista";2;0;0;3;0;2;58;0;34;24;0;0;0;7;0;0;0;5;0;1;0;0;1;0;0;17;1;1;5;1;0;0;162
"261080 Pedra";2;0;0;1;0;1;9;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;21
"261090 Pesqueira";4;0;0;2;0;1;17;0;12;5;0;0;0;3;0;0;1;3;5;0;0;0;1;0;5;1;0;0;1;0;0;0;61
"261100 Petrolândia";0;0;0;0;0;1;9;0;4;7;0;0;0;2;0;0;0;1;1;0;0;0;1;0;2;3;0;0;0;0;0;0;31
"261110 Petrolina";4;3;1;9;1;3;46;1;121;125;3;0;1;7;2;0;1;14;0;0;0;0;2;1;0;36;2;0;7;4;0;0;394
"261120 Poção";1;1;0;1;0;1;6;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;1;1;0;0;0;19
"261130 Pombos";1;0;0;1;0;0;9;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;17
"261140 Primavera";0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;9
"261150 Quipapá";1;0;0;1;0;1;9;0;1;0;0;0;0;1;0;0;0;1;2;0;0;0;1;0;0;1;0;0;1;0;0;0;20
"261153 Quixaba";2;0;0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;9
"261160 Recife";40;2;1;0;0;17;157;4;817;891;19;1;32;40;1;0;3;26;0;5;6;0;11;8;1;188;1;0;33;3;4;0;2311
"261170 Riacho das Almas";2;0;0;1;0;0;7;0;2;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;1;1;1;0;0;22
"261180 Ribeirão";1;0;0;1;0;0;11;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;2;0;0;1;0;0;0;22
"261190 Rio Formoso";0;0;0;0;0;1;9;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;15
"261200 Sairé";0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;11
"261210 Salgadinho";1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;9
"261220 Salgueiro";2;1;0;1;1;1;19;0;17;19;0;0;0;2;0;0;1;2;0;0;0;0;2;0;1;7;0;0;0;0;1;0;77
"261230 Saloá";1;0;0;1;0;1;8;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;17
"261240 Sanharó";1;1;0;1;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;14
"261245 Santa Cruz";2;0;0;1;0;0;6;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;14
"261247 Santa Cruz da Baixa Verde";1;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;10
"261250 Santa Cruz do Capibaribe";2;1;0;1;0;1;18;0;8;23;0;0;0;1;0;0;0;3;3;1;0;1;1;0;0;7;0;0;3;1;0;0;75
"261255 Santa Filomena";1;0;0;1;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11
"261260 Santa Maria da Boa Vista";1;0;0;1;0;1;12;0;0;6;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;1;1;1;0;1;0;0;31
"261270 Santa Maria do Cambucá";2;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
"261280 Santa Terezinha";4;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;12
"261290 São Benedito do Sul";0;0;0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8
"261300 São Bento do Una";1;1;0;1;0;0;10;0;1;3;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;2;0;0;1;1;0;0;25
"261310 São Caitano";1;1;0;1;0;0;12;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;21
"261320 São João";0;1;0;1;0;1;11;0;2;2;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;25
"261330 São Joaquim do Monte";1;1;0;1;0;1;10;0;1;3;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;1;26
"261340 São José da Coroa Grande";0;0;0;1;0;1;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;0;15
"261350 São José do Belmonte";1;0;0;1;0;1;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;17
"261360 São José do Egito";3;0;0;1;0;2;14;0;4;0;0;0;0;2;0;0;0;5;5;0;0;0;1;0;0;3;1;0;0;0;0;0;41
"261370 São Lourenço da Mata";1;0;0;1;0;1;26;0;2;3;0;0;0;2;0;0;0;1;1;1;0;0;1;0;0;3;0;0;1;0;0;0;44
"261380 São Vicente Ferrer";0;1;0;1;0;0;8;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;17
"261390 Serra Talhada";3;1;0;0;0;3;23;0;37;41;1;2;2;5;0;0;1;0;6;0;0;1;2;1;0;16;1;0;0;1;0;0;147
"261400 Serrita";1;0;0;1;0;1;7;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;16
"261410 Sertânia";4;0;0;1;0;1;12;0;2;2;0;0;0;1;0;0;0;0;6;0;0;0;1;0;0;3;0;0;0;0;0;0;33
"261420 Sirinhaém";0;0;0;1;0;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13
"261440 Solidão";2;0;0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9
"261450 Surubim";2;0;0;3;0;1;20;0;6;3;0;1;0;1;0;0;0;2;0;1;0;0;1;0;0;6;0;0;2;0;0;0;49
"261460 Tabira";1;0;0;1;0;1;11;0;3;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;3;0;0;0;0;0;0;25
"261470 Tacaimbó";1;0;0;1;0;0;7;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;15
"261480 Tacaratu";1;0;0;0;0;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;1;0;0;0;0;17
"261485 Tamandaré";0;0;0;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;14
"261500 Taquaritinga do Norte";2;0;0;1;0;1;7;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;19
"261510 Terezinha";1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;11
"261520 Terra Nova";0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;9
"261530 Timbaúba";2;1;0;3;0;1;21;0;5;7;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;8;1;0;1;0;0;0;55
"261540 Toritama";0;1;0;1;0;1;9;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;2;1;0;1;0;0;0;20
"261550 Tracunhaém";0;0;0;1;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;11
"261560 Trindade";0;1;0;0;0;1;14;0;2;1;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;4;1;0;0;0;0;0;28
"261570 Triunfo";1;0;0;0;0;0;6;0;4;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;18
"261580 Tupanatinga";1;0;0;1;0;0;4;0;2;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;14
"261590 Tuparetama";1;0;0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;9
"261600 Venturosa";0;0;0;0;0;0;9;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;17
"261610 Verdejante";2;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;10
"261618 Vertente do Lério";1;0;0;1;0;0;4;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;11
"261620 Vertentes";1;0;0;1;0;0;6;0;1;3;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;16
"261630 Vicência";1;1;0;1;0;1;5;0;2;0;0;1;0;1;0;0;0;0;6;0;0;0;1;0;0;0;0;1;0;0;0;0;21
"261640 Vitória de Santo Antão";2;1;0;5;0;1;41;0;23;37;0;1;0;4;0;0;0;2;0;0;0;0;1;0;0;12;3;0;4;2;1;0;140
